"","client","country","location","keyword","category","tracking","frequency"
"132",53,"US","Washington DC","casino online","Casino",1,"12hourly"
"133",53,"US","Washington DC","casino online demo","Casino",1,"12hourly"
"134",53,"US","Washington DC","casino online desposit bonus uk","Casino",1,"12hourly"
"135",53,"US","Washington DC","casino online play in uk","Casino",1,"12hourly"
"136",53,"US","Washington DC","casino online roulette","Casino",1,"12hourly"
"137",53,"US","Washington DC","casino promotion","Casino",1,"12hourly"
"138",53,"US","Washington DC","casino registration bonus","Casino",1,"12hourly"
"139",53,"US","Washington DC","casino reload bonus","Casino",1,"12hourly"
"140",53,"US","Washington DC","casino rewards bonus","Casino",1,"12hourly"
"141",53,"US","Washington DC","casino roulette","Casino",1,"12hourly"
"142",53,"US","Washington DC","casino roulette free","Casino",1,"12hourly"
"143",53,"US","Washington DC","casino roulette online","Casino",1,"12hourly"
"144",53,"US","Washington DC","casino sign up bonus","Casino",1,"12hourly"
"145",53,"US","Washington DC","casino sign up bonus no deposit","Casino",1,"12hourly"
"146",53,"US","Washington DC","casino sign up bonuses","Casino",1,"12hourly"
"147",53,"US","Washington DC","casino slots bonus","Casino",1,"12hourly"
"148",53,"US","Washington DC","casino slots uk","Casino",1,"12hourly"
"149",53,"US","Washington DC","casino software download","Casino",1,"12hourly"
"150",53,"US","Washington DC","casino top games","Casino",1,"12hourly"
"151",53,"US","Washington DC","casino uk online","Casino",1,"12hourly"
"152",53,"US","Washington DC","casino websites uk","Casino",1,"12hourly"
"153",53,"US","Washington DC","casino welcome bonus","Casino",1,"12hourly"
"154",53,"US","Washington DC","casino with free bonus","Casino",1,"12hourly"
"155",53,"US","Washington DC","casinos slots","Casino",1,"12hourly"
"156",53,"US","Washington DC","cbs against the spread","Betting",1,"12hourly"
"157",53,"US","Washington DC","cbs basketball picks","Betting",1,"12hourly"
"158",53,"US","Washington DC","cbs college football expert picks","Betting",1,"12hourly"
"159",53,"US","Washington DC","cbs expert nfl picks","Betting",1,"12hourly"
"160",53,"US","Washington DC","cbs expert picks ncaa","Betting",1,"12hourly"
"161",53,"US","Washington DC","cbs expert picks ncaa basketball","Betting",1,"12hourly"
"162",53,"US","Washington DC","cbs expert picks ncaa football","Betting",1,"12hourly"
"163",53,"US","Washington DC","cbs football odds","Betting",1,"12hourly"
"164",53,"US","Washington DC","cbs football picks","Betting",1,"12hourly"
"165",53,"US","Washington DC","cbs nba expert picks","Betting",1,"12hourly"
"166",53,"US","Washington DC","cbs nba pick","Betting",1,"12hourly"
"167",53,"US","Washington DC","cbs nba picks","Betting",1,"12hourly"
"168",53,"US","Washington DC","cbs nfl expert picks","Betting",1,"12hourly"
"169",53,"US","Washington DC","cbs nfl odds","Betting",1,"12hourly"
"170",53,"US","Washington DC","cbs nfl pick","Betting",1,"12hourly"
"171",53,"US","Washington DC","cbs nfl picks","Betting",1,"12hourly"
"172",53,"US","Washington DC","cbs nhl expert picks","Betting",1,"12hourly"
"173",53,"US","Washington DC","cbs nhl pick","Betting",1,"12hourly"
"174",53,"US","Washington DC","cbs nhl picks","Betting",1,"12hourly"
