"","client","country","location","keyword","category","tracking","frequency"
"93",53,"US","Washington DC","blackjack bonus","Casino",1,"12hourly"
"94",53,"US","Washington DC","blackjack casino","Casino",1,"12hourly"
"95",53,"US","Washington DC","blackjack free online","Casino",1,"12hourly"
"96",53,"US","Washington DC","blackjack online","Casino",1,"12hourly"
"97",53,"US","Washington DC","blackjack online free","Casino",1,"12hourly"
"98",53,"US","Washington DC","bonus casino offer online","Casino",1,"12hourly"
"99",53,"US","Washington DC","bonus casino sign up","Casino",1,"12hourly"
"100",53,"US","Washington DC","bonus casino slots","Casino",1,"12hourly"
"101",53,"US","Washington DC","bonus casino uk","Casino",1,"12hourly"
"102",53,"US","Washington DC","bookies denver","Betting",1,"12hourly"
"103",53,"US","Washington DC","bovada sports bet","Betting",1,"12hourly"
"104",53,"US","Washington DC","bovada sports lines","Betting",1,"12hourly"
"105",53,"US","Washington DC","bowl game lines","Betting",1,"12hourly"
"106",53,"US","Washington DC","bowl picks against the spread","Betting",1,"12hourly"
"107",53,"US","Washington DC","bowl spreads","Betting",1,"12hourly"
"108",53,"US","Washington DC","broncos spread","Betting",1,"12hourly"
"109",53,"US","Washington DC","casino","Casino",1,"12hourly"
"110",53,"US","Washington DC","casino and slots","Casino",1,"12hourly"
"111",53,"US","Washington DC","casino bonus","Casino",1,"12hourly"
"112",53,"US","Washington DC","casino bonus cash","Casino",1,"12hourly"
"113",53,"US","Washington DC","casino bonus offers","Casino",1,"12hourly"
"114",53,"US","Washington DC","casino bonus sign up","Casino",1,"12hourly"
"115",53,"US","Washington DC","casino bonus uk","Casino",1,"12hourly"
"116",53,"US","Washington DC","casino bonuses slots","Casino",1,"12hourly"
"117",53,"US","Washington DC","casino bonuses uk","Casino",1,"12hourly"
"118",53,"US","Washington DC","casino cash back","Casino",1,"12hourly"
"119",53,"US","Washington DC","casino cashback","Casino",1,"12hourly"
"120",53,"US","Washington DC","casino deposit bonus","Casino",1,"12hourly"
"121",53,"US","Washington DC","casino download","Casino",1,"12hourly"
"122",53,"US","Washington DC","casino download gambling","Casino",1,"12hourly"
"123",53,"US","Washington DC","casino europe","Casino",1,"12hourly"
"124",53,"US","Washington DC","casino for sale","Casino",1,"12hourly"
"125",53,"US","Washington DC","casino free bonus","Casino",1,"12hourly"
"126",53,"US","Washington DC","casino game online uk","Casino",1,"12hourly"
"127",53,"US","Washington DC","casino games","Casino",1,"12hourly"
"128",53,"US","Washington DC","casino games uk","Casino",1,"12hourly"
"129",53,"US","Washington DC","casino no deposit","Casino",1,"12hourly"
"130",53,"US","Washington DC","casino no deposit sign up bonus","Casino",1,"12hourly"
"131",53,"US","Washington DC","casino offers","Casino",1,"12hourly"
